label,support_pos,brier_raw,brier_calibrated,ece_raw,ece_calibrated
malaria,67,0.10914882407718504,0.11434856194235181,0.06427178785326997,0.0754891190801933
dengue,14,0.12977861174904626,0.12581812593176858,0.08653748285312313,0.0814578156205905
yellow_fever,3,0.03598705598976432,0.03704917944278688,0.04925820359806659,0.00028740663178276893
typhoid,7,0.10409402951773279,0.0781931893533889,0.10484329733299394,0.04943107608997784
other_diseases,25,0.048926989976620705,0.01529245448628739,0.16124899470422335,0.00986341563518444
