label,support_pos,precision,recall,f1,pr_auc,roc_auc,false_negative_rate,tp,fp,fn,tn
malaria,67,0.8701298701298701,1.0,0.9305555555555556,0.9167474316728048,0.6455223880597015,0.0,67,10,0,0
dengue,14,0.47058823529411764,0.5714285714285714,0.5161290322580645,0.4666234520564079,0.8321995464852607,0.42857142857142855,8,9,6,54
yellow_fever,3,0.0,0.0,0.0,0.2444444444444444,0.8918918918918919,1.0,0,0,3,74
typhoid,7,1.0,0.14285714285714285,0.25,0.31075868575868576,0.6040816326530613,0.8571428571428571,1,0,6,70
other_diseases,25,1.0,0.96,0.9795918367346939,0.972987012987013,0.9776923076923076,0.04,24,0,1,52
