model,macro_pr_auc,macro_roc_auc,runtime_seconds
Extra Trees,0.5657619991849936,0.7455653199148896,22.44
Random Forest,0.5414245208523962,0.7303567021287514,21.56
XGBoost,0.533077841203705,0.7260773814820968,5.22
HistGradientBoosting,0.5287232077766,0.7133738712978678,14.56
LightGBM,0.5214641042441472,0.7175236439887752,4.74
Logistic Regression,0.5162718732991693,0.6938941584237956,0.68
Classifier Chain,0.5161781931989585,0.6956519866178006,0.56
Dummy / Prevalence,0.3071055360056803,0.4661473042883456,0.48
