label,threshold,strategy,net_benefit
typhoid,0.7,test_none,0.0
other_diseases,0.1,model,0.30447330447330445
other_diseases,0.1,test_all,0.24963924963924963
other_diseases,0.1,test_none,0.0
other_diseases,0.15,model,0.3093964858670741
other_diseases,0.15,test_all,0.2055003819709702
other_diseases,0.15,test_none,0.0
other_diseases,0.2,model,0.30844155844155846
other_diseases,0.2,test_all,0.15584415584415584
other_diseases,0.2,test_none,0.0
other_diseases,0.25,model,0.30735930735930733
other_diseases,0.25,test_all,0.09956709956709958
other_diseases,0.25,test_none,0.0
other_diseases,0.3,model,0.30612244897959184
other_diseases,0.3,test_all,0.03525046382189234
other_diseases,0.3,test_none,0.0
other_diseases,0.35,model,0.3116883116883117
other_diseases,0.35,test_all,-0.038961038961038974
other_diseases,0.35,test_none,0.0
other_diseases,0.4,model,0.3116883116883117
other_diseases,0.4,test_all,-0.12554112554112562
other_diseases,0.4,test_none,0.0
other_diseases,0.44999999999999996,model,0.3116883116883117
other_diseases,0.44999999999999996,test_all,-0.22786304604486407
other_diseases,0.44999999999999996,test_none,0.0
other_diseases,0.5,model,0.3116883116883117
other_diseases,0.5,test_all,-0.35064935064935066
other_diseases,0.5,test_none,0.0
other_diseases,0.5499999999999999,model,0.3116883116883117
other_diseases,0.5499999999999999,test_all,-0.5007215007215005
other_diseases,0.5499999999999999,test_none,0.0
other_diseases,0.6,model,0.3116883116883117
other_diseases,0.6,test_all,-0.6883116883116882
other_diseases,0.6,test_none,0.0
other_diseases,0.6499999999999999,model,0.3116883116883117
other_diseases,0.6499999999999999,test_all,-0.9294990723562147
other_diseases,0.6499999999999999,test_none,0.0
other_diseases,0.7,model,0.3116883116883117
other_diseases,0.7,test_all,-1.2510822510822508
other_diseases,0.7,test_none,0.0
