metric,estimate,ci_low,ci_high,bootstrap_draws
macro_f1,0.5352552849096628,0.44567978261798014,0.6261114344905011,500
micro_f1,0.851063829787234,0.7939943731063339,0.9042477753058954,500
macro_recall,0.5348571428571429,0.45999999999999996,0.6223636363636363,500
macro_pr_auc,0.5823122053838712,0.5175200616449386,0.7281807693040245,500
