label,threshold,oof_precision,oof_recall
malaria,0.05,0.9103139013452914,1.0
dengue,0.39999999999999997,0.4126984126984127,0.6190476190476191
yellow_fever,0.1,0.06172839506172839,0.5555555555555556
typhoid,0.44999999999999996,0.2857142857142857,0.5454545454545454
other_diseases,0.49999999999999994,0.9722222222222222,0.9459459459459459
