track,model,macro_f1,micro_f1,macro_recall,macro_precision,macro_pr_auc,hamming_loss,jaccard_samples
PRE_LAB,Extra Trees,0.5907596371882086,0.7822878228782287,0.792,0.5387085137085137,0.5893183055766597,0.15324675324675324,0.7348484848484848
LAB_AWARE,Extra Trees,0.6125973266499583,0.8153846153846154,0.7396190476190475,0.5757878787878787,0.5946790270084448,0.12467532467532468,0.7748917748917749
FULL,Extra Trees,0.6623601953601954,0.84251968503937,0.7539047619047619,0.6549148629148629,0.682235812903375,0.1038961038961039,0.7976190476190476
