track,raw_feature,model_feature,stage,decision
RESEARCH_FULL,Goût amer dans la gorge (Bitter taste in your Throat),Goût amer dans la gorge (Bitter taste in your Throat),T0_intake,pre_lab
RESEARCH_FULL,Test de garrot positif (Positive tourniquet test),Test de garrot positif (Positive tourniquet test),T0_intake,pre_lab
RESEARCH_FULL,Raideur (Stiffness),Raideur (Stiffness),T0_intake,pre_lab
RESEARCH_FULL,Détresse respiratoire (Respiratory distress),Détresse respiratoire (Respiratory distress),T0_intake,pre_lab
RESEARCH_FULL,Choc septique (Shock),Choc septique (Shock),T0_intake,pre_lab
RESEARCH_FULL,Hépatomégalie (Hepatomegaly),Hépatomégalie (Hepatomegaly),T0_intake,pre_lab
RESEARCH_FULL,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),T0_intake,pre_lab
RESEARCH_FULL,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),T0_intake,pre_lab
RESEARCH_FULL,Splénomégalie modérée,Splénomégalie modérée,T0_intake,pre_lab
RESEARCH_FULL,Choc septique (Septicemia),Choc septique (Septicemia),T0_intake,pre_lab
RESEARCH_FULL,Syndrome d'icterus subaigu (Sub-icterus),Syndrome d'icterus subaigu (Sub-icterus),T0_intake,pre_lab
RESEARCH_FULL,Lymphadénopathie / Lymphadenopa thy,Lymphadénopathie / Lymphadenopa thy,T0_intake,pre_lab
RESEARCH_FULL,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),T1_vital,pre_lab
RESEARCH_FULL,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,T1_vital,pre_lab
RESEARCH_FULL,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),T1_vital,pre_lab
RESEARCH_FULL,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,T1_vital,pre_lab
RESEARCH_FULL,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,T1_vital,pre_lab
RESEARCH_FULL,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,T1_vital,pre_lab
RESEARCH_FULL,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_systolic,T1_vital,pre_lab
RESEARCH_FULL,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_diastolic,T1_vital,pre_lab
RESEARCH_FULL,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_parse_failed,T1_vital,pre_lab
RESEARCH_FULL,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp__missing,T1_vital,pre_lab
RESEARCH_FULL,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),T1_vital,pre_lab
RESEARCH_FULL,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),T0_intake,pre_lab
RESEARCH_FULL,Hypoglycémie (Hypoglycemia),Hypoglycémie (Hypoglycemia),T0_intake,pre_lab
RESEARCH_FULL,Diabète,Diabète,T0_intake,pre_lab
RESEARCH_FULL,Hypertension artérielle,Hypertension artérielle,T0_intake,pre_lab
RESEARCH_FULL,Drépanocytose,Drépanocytose,T0_intake,pre_lab
RESEARCH_FULL,Arthrose,Arthrose,T0_intake,pre_lab
RESEARCH_FULL,Asthme (Astma),Asthme (Astma),T0_intake,pre_lab
RESEARCH_FULL,Pneumonie (Pneumonia),Pneumonie (Pneumonia),T0_intake,pre_lab
RESEARCH_FULL,Dengue dans le menage (Household Dengue),Dengue dans le menage (Household Dengue),T0_intake,pre_lab
RESEARCH_FULL,Test TDR,Test TDR,T2_lab,lab_aware
RESEARCH_FULL,Test TDR,Test TDR__missing,T2_lab,lab_aware
RESEARCH_FULL,Goutte épaisse,Goutte épaisse,T2_lab,lab_aware
RESEARCH_FULL,Goutte épaisse,Goutte épaisse__missing,T2_lab,lab_aware
RESEARCH_FULL,Hémoconcentration,Hémoconcentration,T2_lab,lab_aware
RESEARCH_FULL,Hematocrite (Hematrocrit),Hematocrite (Hematrocrit),T2_lab,lab_aware
RESEARCH_FULL,Hematocrite (Hematrocrit),Hematocrite (Hematrocrit)__missing,T2_lab,lab_aware
RESEARCH_FULL,Transaminases (Transaminases),Transaminases (Transaminases),T2_lab,lab_aware
RESEARCH_FULL,Thrombocytopénie(Thrombocytopenia),Thrombocytopénie(Thrombocytopenia),T2_lab,lab_aware
RESEARCH_FULL,Lymphocytopénie (Lymphocytopenia),Lymphocytopénie (Lymphocytopenia),T2_lab,lab_aware
RESEARCH_FULL,Lymphocytes,Lymphocytes,T2_lab,lab_aware
RESEARCH_FULL,Neutropénie (Neutropenia),Neutropénie (Neutropenia),T2_lab,lab_aware
RESEARCH_FULL,Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),T2_lab,lab_aware
RESEARCH_FULL,Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML)__missing,T2_lab,lab_aware
RESEARCH_FULL,Numération plaquettaire Platelet count,Numération plaquettaire Platelet count,T2_lab,lab_aware
RESEARCH_FULL,Numération plaquettaire Platelet count,Numération plaquettaire Platelet count__missing,T2_lab,lab_aware
RESEARCH_FULL,Neutrophiles / Neutrophils,Neutrophiles / Neutrophils,T2_lab,lab_aware
RESEARCH_FULL,Neutrophiles / Neutrophils,Neutrophiles / Neutrophils__missing,T2_lab,lab_aware
RESEARCH_FULL,CRP>50 /CRP 10-50,CRP>50 /CRP 10-50,T2_lab,lab_aware
RESEARCH_FULL,CRP>50 /CRP 10-50,CRP>50 /CRP 10-50__missing,T2_lab,lab_aware
RESEARCH_FULL,Créatinine élevée / Elevated Creatinine,Créatinine élevée / Elevated Creatinine,T2_lab,lab_aware
RESEARCH_FULL,Créatinine élevée / Elevated Creatinine,Créatinine élevée / Elevated Creatinine__missing,T2_lab,lab_aware
RESEARCH_FULL,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,T2_lab,lab_aware
RESEARCH_FULL,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT__missing,T2_lab,lab_aware
RESEARCH_FULL,Dengue (Dengua),Dengue (Dengua),T3_restate,research_only
RESEARCH_FULL,Autres maladies présentées par le patient,autres_maladies_pr_sent_es_par_le_patien__present,T3_restate,research_only
