label,feature,importance_mean,importance_std
malaria,Somnolence ou léthargie  (Drowsiness or lethargy),0.01409,0.01057
malaria,Sensation de frissons ou de froid (Shiver or cold sensation),0.00987,0.00512
malaria,Douleur rétro-orbitrale (Retro-orbital pain),0.00611,0.00473
malaria,Douleur articulaire (Joint pain),0.00558,0.00517
malaria,Douleur musculaire ( Muscle pain),0.00548,0.00413
malaria,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),0.00366,0.00088
malaria,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,0.00337,0.00111
malaria,Toux (Cough),0.00326,0.00223
malaria,Prostration,0.00314,0.00464
malaria,Saignement/ Manifestations hémorragiques (Bleeding),0.00299,0.00115
malaria,Douleur abdominale (stomac pain),0.00291,0.00448
malaria,Fièvre depuis 48 heures(Fever 48 hrs),0.00271,0.00097
malaria,Troubles de la conscience (Consciousness trouble),0.00244,0.0007
malaria,Splénomégalie modérée,0.00229,0.00195
malaria,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),0.00227,0.00291
malaria,Âge (Age),0.00225,0.00114
malaria,Convulsions généralisées ou focales (Generalised or focal convulsion),0.00186,0.0007
malaria,Type de fièvre (Type of Fever),0.0015,0.00117
malaria,bp_diastolic,0.00131,0.00092
malaria,Mictions fréquentes.(Frequent Urination),0.00109,0.00022
malaria,Mictions fréquentes. (Frequent Urination),0.00096,0.00014
malaria,Convulsions multiples (Multiple convulsions),0.00094,0.00038
malaria,Test de garrot positif (Positive tourniquet test),0.00087,0.00175
malaria,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,0.00086,0.00247
malaria,"Haute température.(temperature, Hyperpyrexia)",0.00069,0.00066
malaria,Vomissement (Vomiting),0.00063,0.00149
malaria,autres_maladies_pr_sent_es_par_le_patien__present,0.00046,0.0044
malaria,Hépatomégalie (Hepatomegaly),0.00044,0.00099
malaria,Douleur Thoracique (Chaist pain),0.00042,0.00077
malaria,Diabète,0.00036,0.0004
malaria,Oligurie (Oliguria),0.00034,0.00179
malaria,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),0.00031,0.00052
malaria,Perte de poids (Loss of Weight),0.00028,0.0002
malaria,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),0.00015,0.00123
malaria,Nausée (Nausea),0.00011,0.00332
malaria,Gonflement des articulations (Joint Swelling),8e-05,0.00058
malaria,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),0.0,0.0
malaria,Éruption morbilliforme (Morbilliform rash),0.0,0.0
malaria,Constipation,0.0,0.0
malaria,Ictère (Icterus),0.0,0.0
malaria,Epistaxis ((Bleeding nose),0.0,0.0
malaria,Confusion/ niveau de conscience altéré (impaired level of consciousness),0.0,0.0
malaria,Gonflement du visage (Facial Swelling),0.0,0.0
malaria,Délire /Discours irrationnel (Delirium/ Irrational Talking),0.0,0.0
malaria,Hémoglobinurie (Hemoglobinuria),0.0,0.0
malaria,Goût amer dans la gorge (Bitter taste in your Throat),0.0,0.0
malaria,Raideur (Stiffness),0.0,0.0
