train_on,test_on,n_test,macro_f1,micro_f1,recall_malaria,recall_other_diseases,recall_dengue,recall_typhoid,recall_yellow_fever
others,CMA de DO,147,0.3555,0.7632,0.9853,0.9697,0.0,0.0,0.0
others,CMA de DAFRA,153,0.3652,0.8503,1.0,0.9394,0.0,0.0,0.0
