label,thr_maxF1,f1,thr_recall_oriented,recall,thr_balanced
malaria,0.05,0.9551,0.05,1.0,0.05
other_diseases,0.39999999999999997,0.6994,0.05,1.0,0.39999999999999997
dengue,0.49999999999999994,0.5476,0.2,0.8571,0.49999999999999994
typhoid,0.44999999999999996,0.386,0.44999999999999996,0.5,0.44999999999999996
yellow_fever,0.49999999999999994,0.2105,0.05,0.3333,0.49999999999999994
