label,threshold,strategy,net_benefit
malaria,0.05,model,0.8632946001367053
malaria,0.05,test_all,0.8632946001367053
malaria,0.05,test_none,0.0
malaria,0.1,model,0.8556998556998556
malaria,0.1,test_all,0.8556998556998556
malaria,0.1,test_none,0.0
malaria,0.15000000000000002,model,0.8472116119174942
malaria,0.15000000000000002,test_all,0.8472116119174942
malaria,0.15000000000000002,test_none,0.0
malaria,0.2,model,0.8376623376623377
malaria,0.2,test_all,0.8376623376623376
malaria,0.2,test_none,0.0
malaria,0.25,model,0.8268398268398268
malaria,0.25,test_all,0.8268398268398268
malaria,0.25,test_none,0.0
malaria,0.3,model,0.8144712430426716
malaria,0.3,test_all,0.8144712430426716
malaria,0.3,test_none,0.0
malaria,0.35000000000000003,model,0.8001998001998002
malaria,0.35000000000000003,test_all,0.8001998001998001
malaria,0.35000000000000003,test_none,0.0
malaria,0.4,model,0.7922077922077921
malaria,0.4,test_all,0.7835497835497834
malaria,0.4,test_none,0.0
malaria,0.45,model,0.7744982290436836
malaria,0.45,test_all,0.7638724911452184
malaria,0.45,test_none,0.0
malaria,0.5,model,0.7532467532467532
malaria,0.5,test_all,0.7402597402597402
malaria,0.5,test_none,0.0
malaria,0.55,model,0.7272727272727272
malaria,0.55,test_all,0.7113997113997113
malaria,0.55,test_none,0.0
malaria,0.6000000000000001,model,0.6948051948051946
malaria,0.6000000000000001,test_all,0.6753246753246751
malaria,0.6000000000000001,test_none,0.0
malaria,0.6500000000000001,model,0.6382189239332096
malaria,0.6500000000000001,test_all,0.628942486085343
malaria,0.6500000000000001,test_none,0.0
malaria,0.7000000000000001,model,0.5670995670995671
malaria,0.7000000000000001,test_all,0.5670995670995669
malaria,0.7000000000000001,test_none,0.0
malaria,0.7500000000000001,model,0.40259740259740245
malaria,0.7500000000000001,test_all,0.4805194805194801
malaria,0.7500000000000001,test_none,0.0
malaria,0.8,model,0.27272727272727265
malaria,0.8,test_all,0.3506493506493503
malaria,0.8,test_none,0.0
other_diseases,0.05,model,0.2911825017088175
other_diseases,0.05,test_all,0.2891319207108681
other_diseases,0.05,test_none,0.0
other_diseases,0.1,model,0.2842712842712843
other_diseases,0.1,test_all,0.24963924963924963
other_diseases,0.1,test_none,0.0
other_diseases,0.15000000000000002,model,0.2834224598930481
other_diseases,0.15000000000000002,test_all,0.20550038197097018
other_diseases,0.15000000000000002,test_none,0.0
other_diseases,0.2,model,0.2857142857142857
other_diseases,0.2,test_all,0.15584415584415584
other_diseases,0.2,test_none,0.0
other_diseases,0.25,model,0.29004329004329005
other_diseases,0.25,test_all,0.09956709956709958
other_diseases,0.25,test_none,0.0
other_diseases,0.3,model,0.2727272727272727
other_diseases,0.3,test_all,0.03525046382189234
other_diseases,0.3,test_none,0.0
other_diseases,0.35000000000000003,model,0.2837162837162837
other_diseases,0.35000000000000003,test_all,-0.03896103896103903
other_diseases,0.35000000000000003,test_none,0.0
other_diseases,0.4,model,0.2857142857142857
other_diseases,0.4,test_all,-0.12554112554112562
other_diseases,0.4,test_none,0.0
other_diseases,0.45,model,0.3010625737898465
other_diseases,0.45,test_all,-0.22786304604486418
other_diseases,0.45,test_none,0.0
other_diseases,0.5,model,0.3116883116883117
other_diseases,0.5,test_all,-0.35064935064935066
other_diseases,0.5,test_none,0.0
other_diseases,0.55,model,0.3116883116883117
other_diseases,0.55,test_all,-0.5007215007215009
other_diseases,0.55,test_none,0.0
other_diseases,0.6000000000000001,model,0.2857142857142857
other_diseases,0.6000000000000001,test_all,-0.6883116883116889
other_diseases,0.6000000000000001,test_none,0.0
other_diseases,0.6500000000000001,model,0.2727272727272727
other_diseases,0.6500000000000001,test_all,-0.929499072356216
other_diseases,0.6500000000000001,test_none,0.0
other_diseases,0.7000000000000001,model,0.24675324675324675
other_diseases,0.7000000000000001,test_all,-1.2510822510822515
other_diseases,0.7000000000000001,test_none,0.0
other_diseases,0.7500000000000001,model,0.2077922077922078
other_diseases,0.7500000000000001,test_all,-1.7012987012987024
other_diseases,0.7500000000000001,test_none,0.0
other_diseases,0.8,model,0.12987012987012986
other_diseases,0.8,test_all,-2.3766233766233773
other_diseases,0.8,test_none,0.0
dengue,0.05,model,0.1291866028708134
dengue,0.05,test_all,0.13875598086124402
dengue,0.05,test_none,0.0
dengue,0.1,model,0.1111111111111111
dengue,0.1,test_all,0.09090909090909091
dengue,0.1,test_none,0.0
dengue,0.15000000000000002,model,0.10924369747899158
dengue,0.15000000000000002,test_all,0.03743315508021389
dengue,0.15000000000000002,test_none,0.0
dengue,0.2,model,0.09415584415584416
dengue,0.2,test_all,-0.022727272727272707
dengue,0.2,test_none,0.0
dengue,0.25,model,0.08658008658008658
dengue,0.25,test_all,-0.09090909090909088
dengue,0.25,test_none,0.0
dengue,0.3,model,0.07235621521335805
dengue,0.3,test_all,-0.16883116883116883
dengue,0.3,test_none,0.0
dengue,0.35000000000000003,model,0.04495504495504493
dengue,0.35000000000000003,test_all,-0.25874125874125875
dengue,0.35000000000000003,test_none,0.0
dengue,0.4,model,0.004329004329004307
dengue,0.4,test_all,-0.3636363636363637
dengue,0.4,test_none,0.0
dengue,0.45,model,1.3877787807814457e-17
dengue,0.45,test_all,-0.48760330578512384
dengue,0.45,test_none,0.0
dengue,0.5,model,-0.012987012987012977
dengue,0.5,test_all,-0.6363636363636362
dengue,0.5,test_none,0.0
dengue,0.55,model,-0.04906204906204911
dengue,0.55,test_all,-0.8181818181818183
dengue,0.55,test_none,0.0
dengue,0.6000000000000001,model,-0.045454545454545484
dengue,0.6000000000000001,test_all,-1.0454545454545459
dengue,0.6000000000000001,test_none,0.0
dengue,0.6500000000000001,model,-0.08163265306122455
dengue,0.6500000000000001,test_all,-1.3376623376623384
dengue,0.6500000000000001,test_none,0.0
dengue,0.7000000000000001,model,-0.07792207792207793
dengue,0.7000000000000001,test_all,-1.7272727272727275
dengue,0.7000000000000001,test_none,0.0
dengue,0.7500000000000001,model,-0.10389610389610396
dengue,0.7500000000000001,test_all,-2.2727272727272743
dengue,0.7500000000000001,test_none,0.0
dengue,0.8,model,0.012987012987012988
dengue,0.8,test_all,-3.0909090909090917
dengue,0.8,test_none,0.0
typhoid,0.05,model,0.025974025974025976
typhoid,0.05,test_all,0.0430622009569378
typhoid,0.05,test_none,0.0
typhoid,0.1,model,0.010101010101010097
typhoid,0.1,test_all,-0.010101010101010097
typhoid,0.1,test_none,0.0
typhoid,0.15000000000000002,model,-0.003055767761650119
typhoid,0.15000000000000002,test_all,-0.06951871657754014
typhoid,0.15000000000000002,test_none,0.0
typhoid,0.2,model,-0.006493506493506489
typhoid,0.2,test_all,-0.13636363636363635
typhoid,0.2,test_none,0.0
typhoid,0.25,model,-0.008658008658008656
typhoid,0.25,test_all,-0.21212121212121207
typhoid,0.25,test_none,0.0
typhoid,0.3,model,-0.014842300556586266
typhoid,0.3,test_all,-0.2987012987012987
typhoid,0.3,test_none,0.0
typhoid,0.35000000000000003,model,-0.030969030969030975
typhoid,0.35000000000000003,test_all,-0.39860139860139865
typhoid,0.35000000000000003,test_none,0.0
typhoid,0.4,model,-0.05194805194805196
typhoid,0.4,test_all,-0.5151515151515151
typhoid,0.4,test_none,0.0
typhoid,0.45,model,-0.048406139315230225
typhoid,0.45,test_all,-0.652892561983471
typhoid,0.45,test_none,0.0
typhoid,0.5,model,-0.06493506493506493
typhoid,0.5,test_all,-0.8181818181818181
