train_on,test_on,n_test,macro_f1,micro_f1,recall_malaria,recall_other_diseases,recall_dengue,recall_typhoid,recall_yellow_fever
others,CMA de DO,147,0.2648,0.6234,0.9926,1.0,0.0,0.0,0.0
others,CMA de DAFRA,152,0.3032,0.7594,1.0,0.5758,0.0,0.0,0.0
