feature,importance_mean
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),0.025602000000000003
Diabète,0.014493999999999998
Détresse respiratoire (Respiratory distress),0.012988
Douleur abdominale (stomac pain),0.012536
Poids (Weight)__missing,0.01231
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,0.008144000000000002
Troubles de la conscience (Consciousness trouble),0.007651999999999999
Hypertension artérielle,0.006542000000000001
Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),0.006003999999999999
Céphalée (Headache),0.005470000000000001
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,0.005064
bp__missing,0.004534
Convulsions multiples (Multiple convulsions),0.003912
Oligurie (Oliguria),0.0031919999999999995
Pneumonie (Pneumonia),0.0025719999999999996
Vertige (Dizzy),0.0024579999999999992
center_code,0.0017539999999999993
Nausée (Nausea),0.0017300000000000002
Diarrhée  (Diarrhea),0.0016480000000000002
Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),0.0013820000000000002
Poids (Weight),0.0013219999999999998
Douleur Thoracique (Chaist pain),0.0012720000000000001
Somnolence ou léthargie  (Drowsiness or lethargy),0.0010340000000000002
Convulsions généralisées ou focales (Generalised or focal convulsion),0.0009760000000000005
Fièvre au cours des 7 derniers jours (Fever in the last 7 days),0.0009299999999999999
